Name,Identity,Status,Gender,Alignment,Race,Height,Weight,EyeColor,HairColor,SkinColor,Publisher,Year,Appearances,FirstAppearance,AdditionalData
Luke Cage,Secret,Deceased,Male,Bad,Human,198,191,Green,Bald,,Marvel,2008,6,6/1/08,Skrull
Rogue,Secret,Living,Female,Good,,173,54,Green,Auburn,,Marvel,,850,,Anna Marie
Conan,No Dual,Living,Male,Neutral,,,,Blue,Black,,Marvel,1970,787,10/1/70,
Joseph Robertson,No Dual,Living,Male,Good,,,,Brown,White,,Marvel,1967,752,8/1/67,
Pietro Maximoff,Public,Living,Male,Good,,,,Blue,Silver,,Marvel,1964,740,3/1/64,
Pietro Maximoff,Secret,Deceased,Male,Bad,,,,Blue,Silver,,Marvel,2012,3,1/1/12,Clone
Hercules,No Dual,Living,Male,Good,Demi-god,196,146,Blue,Brown,,Marvel,1965,725,10/1/65,
Hercules,Known to Authorities,Living,Male,Good,Demi-god,196,146,Blue,Black,,Marvel,2007,2,2/1/07,CSA
Hercules,Secret,Living,Male,Good,Demi-god,196,146,Blue,Brown,,Marvel,1943,1,3/1/43,Empowered Marvel Boy
Hercules,Secret,Living,Male,Good,Demi-god,196,146,Blue,Blond,,Marvel,1944,1,5/1/44,Captain America Past Life
Hercules,,Living,Male,Bad,Demi-god,196,146,Blue,Brown,,Marvel,1998,1,5/1/98,Demi-God
Hercules,,Living,Male,Neutral,Demi-god,196,146,Blue,Black,,DC,1991,11,9/1/91,
Victor von Doom,Public,Living,Male,Bad,,,,Brown,Brown,,Marvel,1962,721,7/1/62,
Victor von Doom,Public,Living,Male,Bad,,,,,,,Marvel,1996,9,11/1/96,Heroes Reborn
Victor von Doom,Public,Living,Male,Good,,,,,,,Marvel,1973,8,2/1/73,Counter-Earth
Victor von Doom,,Living,Male,,,,,,,,Marvel,1978,8,4/1/78,Clone
Victor von Doom,Secret,Living,Male,Bad,,,,Red,,,Marvel,1992,2,9/1/92,Impostor
Max Eisenhardt,Public,Living,Male,Neutral,,,,Grey,Bald,,Marvel,1963,709,9/1/63,
Max Eisenhardt,Secret,Living,Male,Bad,,,,Blue,White,,Marvel,1995,52,12/1/95,Joseph
Max Eisenhardt,Secret,Deceased,Male,Bad,,,,,,,Marvel,1968,7,11/1/68,Machinesmith Robot
Max Eisenhardt,,Living,,Bad,,,,,,,Marvel,1979,,8/1/79,Arcade Robot
Elizabeth Braddock,Secret,Living,Female,Neutral,,,,Blue,Purple,,Marvel,1976,708,12/1/76,
Elizabeth Braddock,Secret,Deceased,Female,Bad,,,,Violet,Purple,,Marvel,,4,,Revenant
Elizabeth Braddock,Secret,Deceased,,Bad,,,,,,,Marvel,1991,2,5/1/91,War Skrull
Norrin Radd,Public,Living,Male,Good,,,,Blue,Bald,,Marvel,1966,696,3/1/66,
Norrin Radd,,Deceased,Male,Good,,,,Silver,Bald,,Marvel,1996,8,11/1/96,Heroes Reborn
Norman Osborn,Public,Living,Male,Bad,,,,Blue,Auburn,,Marvel,1964,692,7/1/64,
Eugene Thompson,Secret,Living,Male,Good,,,,Blue,Strawberry Blond,,Marvel,1962,689,8/1/62,
Simon Williams,Public,Living,Male,Good,,,,Red,Grey,,Marvel,1964,686,10/1/64,
Simon Williams,Secret,Living,Male,Bad,,,,Green,Bald,,Marvel,2008,6,6/1/08,Skrull
Simon Williams,Secret,Living,Male,Bad,,,,,,,Marvel,1997,3,5/1/97,Heroes Reborn
Simon Williams,,Living,Male,,,,,,,,Marvel,1992,,9/1/92,Doppelganger
Samuel Guthrie,Secret,Living,Male,Good,,,,Blue,Blond,,Marvel,1982,657,11/1/82,
James Buchanan Barnes,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1941,641,3/1/41,
Remy LeBeau,Secret,Living,Male,Good,,,,Black Eyeballs,Brown,,Marvel,1990,636,7/1/90,
Daniel Rand,Secret,Living,Male,Good,,,,Blue,Blond,,Marvel,1974,618,5/1/74,
Daniel Rand,,Living,Male,Bad,,,,,,,Marvel,1998,1,5/1/98,Dragonfist
Daniel Rand,Secret,Deceased,Male,Good,,,,Blue,,,Marvel,1985,,9/1/85,H'ylthri
Nathan Summers,Public,Living,Male,Neutral,,,,Blue,White,,Marvel,1986,612,1/1/86,
Elizabeth Brant,No Dual,Living,Female,Good,,,,Brown,Brown,,Marvel,1963,599,9/1/63,
Richard Jones,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1962,590,5/1/62,
Richard Jones,Secret,Living,Male,Good,,,,Blue,Red,,Marvel,1940,19,4/1/40,Phantom Reporter
Richard Jones,Public,Living,Male,Neutral,,,,Brown,Brown,,Marvel,2002,1,5/1/02,Impersonator
Edwin Jarvis,No Dual,Living,Male,Good,,,,Blue,White,,Marvel,1964,567,11/1/64,
Edwin Jarvis,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,2005,35,3/1/05,Skrull
Alexander Summers,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1969,558,3/1/69,
Patricia Walker,Secret,Living,Female,Good,,,,Blue,Red,,Marvel,1944,550,11/1/44,
Patricia Walker,Public,Deceased,Female,Good,,,,,,,Marvel,1996,12,11/1/96,Heroes Reborn
Human Torch,Public,Living,Male,Good,Human / radiation,178,77,Blue,Blond,,Marvel,1939,548,10/1/39,Android
Loki Laufeyson,No Dual,Living,Genderfluid,Neutral,,,,Green,Black,,Marvel,1949,532,8/1/49,
Loki Laufeyson,Secret,Deceased,Male,Good,,,,Green,Black,,Marvel,2011,13,1/1/11,Kid Loki
Loki Laufeyson,,Deceased,Male,Bad,,,,,,,Marvel,1996,12,11/1/96,Heroes Reborn
Loki Laufeyson,Secret,Living,Male,Bad,,,,,Black,,Marvel,1996,3,5/1/96,LMD
Franklin Nelson,No Dual,Living,Male,Good,,,,Blue,Bald,,Marvel,1964,528,4/1/64,
Brian Braddock,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1976,528,10/1/76,
Otto Octavius,Secret,Deceased,Male,Neutral,,,,Hazel,Brown,,Marvel,1963,526,7/1/63,
James Rhodes,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1979,525,1/1/79,
Timothy Dugan,Public,Deceased,Male,Good,,,,Blue,Red,,Marvel,1963,517,5/1/63,
Timothy Dugan,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,2008,28,7/1/08,Skrull
Timothy Dugan,,Living,Male,Good,,,,,,,Marvel,1996,6,11/1/96,Heroes Reborn
Crystalia Amaquelin,Public,Living,Female,Good,,,,Green,Strawberry Blond,,Marvel,1965,512,12/1/65,
Samuel Wilson,Public,Living,Male,Good,,,,Brown,Black,,Marvel,1969,512,9/1/69,
Samuel Wilson,Public,Living,Male,Good,,,,,Grey,,DC,1970,4,11/1/70,
Wilson Fisk,Public,Living,Male,Bad,,,,Blue,Bald,,Marvel,1967,503,7/1/67,
Odin Borson,Public,Living,Male,Neutral,,,,Blue,White,,Marvel,1962,502,10/1/62,
Deadpool,Secret,Living,Male,Neutral,Mutant,188,95,Brown,Bald,,Marvel,1991,500,2/1/91,Wade Wilson
Dane Whitman,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1967,478,12/1/67,
Dane Whitman,,Deceased,Male,Bad,,,,,,,Marvel,1998,1,5/1/98,Knight Errant
Harold Osborn,No Dual,Living,Male,Good,,,,Blue,Brown,,Marvel,1965,474,12/1/65,
Franklin Richards,No Dual,Living,Male,Good,Mutant,142,45,Blue,Blond,,Marvel,1968,473,11/1/68,
Jessica Drew,Secret,Living,Female,Good,,,,Green,Auburn,,Marvel,1977,471,2/1/77,
Roberto da Costa,Secret,Living,Male,Good,,,,Brown,Black,,Marvel,1982,464,11/1/82,
Roberto da Costa,Secret,Deceased,Male,Bad,,,,,Bald,,Marvel,1993,16,9/1/93,Reignfire
Rahne Sinclair,Secret,Living,Female,Good,,,,Green,Red,,Marvel,1982,448,11/1/82,
Elizabeth Ross,Public,Living,Female,Good,,,,Blue,Black,,Marvel,1962,446,5/1/62,
Elizabeth Ross,Public,Living,Female,Good,,,,,,,Marvel,1996,6,11/1/96,Heroes Reborn
Elizabeth Ross,No Dual,Living,Female,,,,,Blue,Brown,,Marvel,1972,1,12/1/72,Counter-Earth
Lorna Dane,Secret,Living,Female,Good,,,,Green,Green,,Marvel,1968,433,10/1/68,
Blaine Colt,Public,Deceased,Male,,,,,Blue,Blond,,Marvel,,429,,
Johnathon Blaze,Secret,Living,Male,Good,,,,Blue,Reddish Blond,,Marvel,1972,426,8/1/72,
Sif,No Dual,Living,Female,Good,Asgardian,188,191,Blue,Black,,Marvel,1964,422,3/1/64,
Sif,,Living,Female,Good,Asgardian,188,191,Blue,Blond,,DC,1967,1,10/1/67,
Red Hulk,Public,Living,Male,Neutral,Human / radiation,213,630,Blue,Black,Red,Marvel,1962,415,5/1/62,Thaddeus Ross
Jubilation Lee,Secret,Living,Female,Good,,,,Brown,Black,,Marvel,1989,408,5/1/89,
Jubilation Lee,,Deceased,,Bad,,,,,,,Marvel,1991,1,6/1/91,War Skrull
Volstagg,Public,Living,Male,Good,,,,Blue,Red,,Marvel,1965,406,8/1/65,
Balder Odinson,Secret,Deceased,Male,Good,,,,Blue,Brown,,Marvel,1962,403,10/1/62,
Galactus,Secret,Living,Male,Neutral,Cosmic entity,876,16,Brown,Bald,,Marvel,1966,390,3/1/66,
Galactus,,Deceased,Male,Bad,Cosmic entity,876,16,Black,Black,,Marvel,1997,10,4/1/97,Heroes Reborn
Galactus,Secret,Living,Male,Bad,Cosmic entity,876,16,Green,Bald,,Marvel,2008,2,12/1/08,Skrull
Danielle Moonstar,Secret,Living,Female,Good,,,,Brown,Black,,Marvel,1982,388,11/1/82,
Marc Spector,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1975,387,8/1/75,
Marc Spector,Secret,Deceased,Male,Bad,,,,Brown,Brown,,Marvel,2010,2,11/1/10,Clone
Gwendolyne Stacy,No Dual,Deceased,Female,Good,,,,Blue,Blond,,Marvel,1965,384,12/1/65,
Gwendolyne Stacy,Secret,Deceased,Female,Neutral,,,,Blue,Blond,,Marvel,1975,42,3/1/75,Clone
Gwendolyne Stacy,Public,Deceased,Female,Neutral,,,,,Blond,,Marvel,2011,1,10/1/11,Abby-L
Medusalith Amaquelin,Public,Living,Female,Good,,,,Green,Red,,Marvel,1965,382,3/1/65,
Medusalith Amaquelin,,Living,Female,Good,,,,,,,Marvel,1997,5,6/1/97,Heroes Reborn
Sabretooth,Secret,Living,Male,Bad,Mutant,198,171,Amber,Blond,,Marvel,1977,382,8/1/77,Victor Creed
Illyana Rasputina,Secret,Living,Female,Neutral,,,,Blue,Blond,,Marvel,1975,380,5/1/75,
Johann Shmidt,Public,Deceased,Male,Bad,,,,Blue,Blond,,Marvel,1941,376,8/1/41,
Johann Shmidt,Public,Living,Male,Bad,,,,Blue,Brown,,Marvel,2012,13,12/1/12,Clone
Johann Shmidt,,Living,Male,Bad,,,,,,,Marvel,1996,8,9/1/96,Heroes Reborn
Fandral,Secret,Deceased,Male,Good,,,,Blue,Blond,,Marvel,1965,375,8/1/65,
Sean Cassidy,Secret,Living,Male,Neutral,,,,Green,Strawberry Blond,,Marvel,1967,374,1/1/67,
Thomas Raymond,Secret,Living,Male,Good,,,,Blue,Black,,Marvel,1940,373,9/1/40,
Uatu,Public,Deceased,Male,Good,,,,Blue,Bald,,Marvel,1963,373,4/1/63,
Uatu,,Deceased,Male,,,,,,,,Marvel,1997,5,5/1/97,Heroes Reborn
Richard Rider,Public,Deceased,Male,Good,,,,Brown,Brown,,Marvel,1976,373,9/1/76,
Hogun,Public,Living,Male,Good,,,,Grey,Black,,Marvel,1965,371,8/1/65,
Raven Darkholme,Secret,Living,Female,Bad,,,,Yellow,Red,,Marvel,1978,371,4/1/78,
Barbara Morse,Secret,Living,Female,Good,,,,Blue,Blond,,Marvel,1971,368,6/1/71,
Barbara Morse,Secret,Deceased,Female,Bad,,,,Green,Blond,,Marvel,2008,4,6/1/08,"Retro, Skrull"
Blackagar Boltagon,No Dual,Living,Male,Good,,,,Blue,Black,,Marvel,1965,366,12/1/65,
Blackagar Boltagon,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,2008,9,1/1/08,Skrull
Blackagar Boltagon,,Living,Male,,,,,,,,Marvel,1997,6,6/1/97,Heroes Reborn
Brunnhilde,Secret,Living,Female,Good,,,,Blue,Blond,,Marvel,1970,361,12/1/70,
Alison Blaire,Public,Living,Female,Good,,,,Blue,Strawberry Blond,,Marvel,1980,353,2/1/80,
Venom,Known to Authorities,Living,Agender,Neutral,Symbiote,191,117,Variable,Bald,,Marvel,1984,348,5/1/84,Symbiote
Venom,,Living,Agender,Neutral,Symbiote,191,117,Variable,Bald,,Marvel,2003,23,6/1/03,Symbiote Mania Earh-616
John Walker,Secret,Living,Male,Good,,,,Blue,Blond,,Marvel,1986,346,11/1/86,
Greer Grant,Public,Living,Female,Good,,,,Green,Black,,Marvel,1972,342,11/1/72,
Karla Sofen,Public,Living,Female,Neutral,,,,Blue,Blond,,Marvel,1975,340,12/1/75,
William Baker,Secret,Living,Male,Neutral,,,,Brown,Brown,,Marvel,1963,338,9/1/63,
William Baker,Secret,Living,Male,Bad,,,,,Brown,,Marvel,1992,1,9/1/92,Impostor
William Baker,,Living,Male,Neutral,,,,,Black,,DC,1995,4,3/1/95,
Sharon Carter,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,1966,332,3/1/66,
Sharon Carter,Public,Living,Female,Good,,,,,Blond,,Marvel,1996,3,11/1/96,Heroes Reborn
Felicia Hardy,Public,Living,Female,Bad,,,,,Blond,,Marvel,1979,332,7/1/79,
Cain Marko,Public,Living,Male,Neutral,,,,Blue,Red,,Marvel,1965,329,7/1/65,
Monica Rambeau,Secret,Living,Female,Good,,,,Brown,Black,,Marvel,,327,,
Maria Hill,No Dual,Living,Female,Good,,,,Brown,Black,,Marvel,2005,325,4/1/05,
Ben Urich,No Dual,Living,Male,Good,,,,Brown,Brown,,Marvel,1978,324,7/1/78,
Heather Douglas,Secret,Living,Female,Good,,,,Blue,Bald,,Marvel,1973,323,1/1/73,
Millicent Collins,Public,Living,Female,,,,,Blue,Blond,,Marvel,1945,321,12/1/45,
James Proudstar,Secret,Living,Male,Good,,,,Brown,Black,,Marvel,1984,320,6/1/84,
Angelica Jones,Known to Authorities,Living,Female,Good,,,,Green,Red,,Marvel,1985,319,5/1/85,
Edward Brock,Public,Living,Male,Neutral,,,,Black,Blond,,Marvel,1986,318,9/1/86,
MacDonald Gargan,Secret,Living,Male,Bad,,,,Brown,Bald,,Marvel,1964,317,12/1/64,
Mephisto,No Dual,Living,Male,Bad,,198,140,White,Black,,Marvel,1968,316,12/1/68,
Mephisto,Secret,Living,Male,Bad,,198,140,White,Black,,Marvel,1946,1,6/1/46,Actor
Tabitha Smith,Secret,Living,Female,Good,,,,Blue,Blond,,Marvel,1985,316,11/1/85,
Jean-Paul Beaubier,Secret,Living,Male,Good,,,,Blue,Black,,Marvel,1979,313,4/1/79,
